,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
재미/Noun,1.0019458e-18,5.040567e-24,1.01229755e-22,3.973003e-19,1.8403865e-19
텐데/Eomi,1.3072567e-19,1.0291723e-23,7.122743e-19,3.8269385e-20,1.0299943e-21
빨리/Adverb,5.358878e-19,1.6431157e-21,4.9145825e-19,4.1335055e-20,1.1577268e-21
어렵다/Adjective,6.347772e-20,2.9437532e-22,8.9376275e-21,6.006423e-19,1.4420632e-20
따르다/Verb,4.8966978e-17,1.341205e-21,8.3804725e-22,7.382191e-20,1.694375e-21
밖/Noun,6.892255e-20,8.527164e-23,2.1793786e-18,1.803022e-19,4.0632303e-21
해도/Noun,1.5278383e-17,5.480056e-21,5.771626e-20,1.5943398e-18,6.0045677e-19
이제/Noun,8.0976515e-18,9.7077e-21,1.879479e-19,2.765658e-19,1.9278173e-20
조합/Noun,1.927554e-19,3.4183718e-22,2.2754744e-24,4.1807786e-20,2.1912043e-21
구/Noun,1.4494011e-16,1.7887706e-21,5.8732695e-17,5.53957e-17,2.8350478e-19
들르다/Verb,2.9469602e-19,1.4669055e-24,6.7950287e-22,5.634726e-19,1.5031443e-21
노트북/Noun,5.819845e-20,5.1719445e-24,1.0904174e-20,1.3710547e-19,5.8397876e-22
착하다/Adjective,1.2970496e-18,6.4407924e-23,9.467894e-21,7.062116e-18,8.4817627e-19
청소/Noun,1.555278e-22,4.2483064e-25,1.5281157e-20,3.9038737e-22,1.559013e-24
읽다/Verb,1.26279945e-20,5.0607923e-26,1.3288854e-21,2.1094584e-19,6.802365e-23
시럽/Noun,7.245398e-21,1.5014172e-24,2.4222854e-24,3.4937125e-23,4.1306014e-22
저/Determiner,2.6073957e-21,4.250122e-25,2.0979873e-22,1.0002254e-22,1.7425469e-22
파운드/Noun,1.2993424e-18,4.224859e-24,1.3421255e-22,2.3870114e-20,7.741163e-20
줌/Noun,2.7501177e-20,4.5896113e-24,5.942651e-20,7.4414453e-22,7.616166e-23
