,커피/Noun,가격/Noun,직원/Noun,분위기/Noun
원두/Noun,5.7075462e-18,1.7467045e-24,5.1659137e-23,1.747746e-22
적다/Verb,9.197915e-19,7.2829257e-19,1.0636109e-20,3.4837364e-20
이유/Noun,1.2119887e-19,2.6518212e-22,1.2125325e-22,1.5822689e-20
존/Noun,7.7232517e-22,3.0993423e-25,2.2342138e-24,1.2547221e-21
우유/Noun,1.1649719e-18,2.7848674e-23,4.139507e-25,3.6661608e-22
이쁘다/Adjective,7.335511e-19,4.3739636e-23,3.0454616e-20,6.034382e-16
전/Noun,3.6330238e-16,2.3279748e-20,6.6455877e-19,3.0807525e-18
편하다/Adjective,1.0219876e-19,7.8829056e-24,8.0054625e-22,1.32906575e-17
기다리다/Verb,3.8121435e-23,2.1705453e-23,5.5414524e-24,2.1486316e-23
좁다/Adjective,3.525835e-21,6.5588874e-23,3.2542907e-21,3.695849e-20
알/Noun,9.27284e-21,7.5073865e-24,3.5206857e-22,1.3344174e-21
향/Noun,2.338452e-19,1.4803753e-23,6.191569e-23,1.5913797e-19
종류/Noun,8.3772846e-20,1.3873246e-23,1.4808674e-22,7.4594637e-22
날/Noun,1.0378904e-21,3.6033068e-24,1.3274003e-22,2.7091225e-21
매우/Noun,1.3408247e-16,2.1135663e-19,6.1783956e-18,8.298482e-17
지다/Verb,1.3879586e-17,1.1789094e-21,4.244904e-18,4.351306e-19
차다/Verb,1.2504167e-14,1.7023513e-20,7.80534e-18,2.3152278e-15
아이스크림/Noun,6.4160096e-20,6.6122175e-24,1.511019e-23,1.819242e-21
보이다/Verb,1.4732582e-18,5.740134e-22,2.297883e-17,8.908844e-18
아르바이트생/Noun,1.3930387e-19,3.9432948e-23,1.9228176e-11,3.452356e-20
한/Determiner,7.816527e-22,7.7672884e-26,2.8847862e-25,3.4870716e-21
돼다/Verb,1.0023281e-18,1.7630134e-22,1.2071438e-19,1.2232523e-19
마카롱/Noun,1.8019184e-15,2.6396222e-20,1.329181e-19,1.4444651e-18
느끼다/Verb,1.6287151e-18,1.0019903e-21,3.483748e-21,7.4735463e-19
불친절/Noun,2.9699263e-19,6.951898e-22,5.0334155e-18,4.348883e-19
편/Noun,6.501811e-17,7.1093915e-18,1.9376454e-20,1.0051122e-17
나쁘다/Adjective,2.73007e-20,4.6230174e-23,3.8900353e-21,2.2830334e-21
아이스/Noun,2.6663332e-17,2.6489803e-22,1.5276011e-22,7.425626e-21
특히/Adverb,1.0697869e-14,3.8763354e-20,2.0795388e-17,6.082571e-15
비다/Verb,4.591617e-20,4.129786e-20,1.05504245e-23,5.9129802e-21
제일/Noun,3.801565e-19,1.4809182e-22,2.2015086e-22,2.4314819e-21
하지만/Conjunction,7.218986e-16,5.014141e-16,4.8867494e-18,5.7038983e-15
앞/Noun,1.7473345e-20,1.6758459e-25,1.1975898e-19,4.6609718e-20
때문/Noun,1.5048564e-18,7.099543e-21,2.4952883e-18,3.1741114e-18
코타/Noun,1.3950759e-26,1.7258294e-30,7.917275e-28,1.745051e-26
쓰다/Verb,2.9531834e-19,5.884644e-23,1.524902e-19,6.0162546e-21
음악/Noun,1.0744923e-18,4.657857e-22,3.4789836e-19,3.3989815e-16
이렇게/Adverb,3.354065e-18,1.3413578e-22,7.188795e-21,8.631507e-21
도/Noun,2.7765806e-17,3.7228188e-20,1.2510487e-18,8.291358e-18
여기다/Verb,3.9514893e-14,2.4038183e-18,5.494993e-17,2.35403e-15
돈/Noun,1.0125529e-21,1.1564638e-22,3.950793e-23,6.6360715e-24
주스/Noun,2.1910047e-20,2.460223e-25,1.0440598e-24,5.1490333e-23
장소/Noun,8.505151e-20,6.166139e-22,7.6870403e-22,7.480371e-17
그래도/Adverb,3.6517276e-15,1.3011684e-17,5.369238e-17,1.3310407e-15
인/Noun,3.9431524e-19,1.7064138e-21,1.9052344e-20,4.7203776e-20
항상/Noun,6.428192e-18,1.6797726e-21,1.8305852e-18,1.6144453e-17
기본/Noun,1.3769557e-20,4.761732e-23,6.878935e-21,1.9558303e-22
의자/Noun,2.4532473e-20,7.7399447e-22,1.7246855e-21,4.1106756e-19
없이/Adverb,2.9263768e-22,4.584867e-25,8.621655e-24,3.3078419e-24
가면/Noun,2.7716053e-18,3.3693824e-22,2.942576e-21,3.6764598e-19
주말/Noun,5.7870393e-19,4.6366563e-21,6.995643e-19,6.462294e-18
알바/Noun,3.4740086e-20,1.6448582e-22,2.463323e-13,1.18763515e-20
타르트/Noun,5.7407588e-18,9.236332e-22,2.2945235e-21,2.9561365e-19
용/Noun,5.4008316e-17,8.081897e-22,7.3898584e-19,1.0982391e-15
아주/Noun,1.7473923e-15,5.70593e-20,4.245501e-19,6.3626248e-15
시/Modifier,2.9914572e-22,5.5466675e-27,9.3661146e-23,1.4946813e-22
최악/Noun,3.4975846e-20,2.8853944e-23,2.0102329e-21,1.8777563e-22
테이크아웃/Noun,1.3884656e-19,1.2550853e-22,9.0015346e-23,1.7257385e-21
무난/Noun,7.0070776e-18,1.7161678e-20,1.6545306e-22,8.640542e-19
공부/Noun,7.228641e-21,3.422322e-24,2.0153157e-21,2.2576185e-18
걸/Noun,6.788381e-19,5.824989e-23,2.3251514e-21,2.6445707e-20
다양하다/Adjective,1.4357695e-17,2.734206e-21,2.2464971e-22,2.1310547e-18
재/Noun,3.027993e-20,6.546788e-23,6.5316285e-21,3.2558572e-20
찾다/Verb,3.3378276e-19,1.1765943e-23,1.521774e-21,5.7353933e-19
달다/Verb,4.869289e-20,1.0477521e-21,7.13835e-21,3.395979e-21
다음/Noun,6.951382e-18,6.075358e-23,6.7332896e-20,1.4926615e-18
여자/Noun,4.0863735e-22,2.2361582e-24,1.2679276e-17,4.4937104e-21
내다/Verb,8.127609e-18,1.2283428e-22,1.5650285e-20,6.3334493e-21
맞다/Verb,9.540419e-18,1.2220471e-22,4.944781e-20,2.7422087e-20
좌석/Noun,2.96354e-21,2.4541892e-23,2.7769865e-22,6.712773e-20
내부/Noun,9.147603e-18,1.6864571e-20,3.4841235e-19,1.2501497e-14
넘다/Verb,5.352402e-19,3.2608768e-21,3.2166257e-19,1.9488984e-20
아깝다/Adjective,3.2625443e-21,4.407359e-24,2.9839904e-23,1.3400229e-22
건지다/Verb,7.098703e-21,2.1855503e-23,1.9325825e-19,1.6578928e-21
생크림/Noun,4.667591e-20,5.6614333e-22,5.1076744e-24,3.3678406e-22
서다/Verb,4.139865e-20,8.691734e-23,3.8445724e-19,2.533943e-20
드립/Noun,5.1474186e-17,9.4398575e-24,3.2661411e-22,1.6098857e-20
임/Noun,3.0334195e-17,9.3262296e-21,3.3859596e-18,3.1626415e-18
진하다/Adjective,4.398454e-18,1.3529565e-22,2.2507164e-23,1.2650752e-20
가지/Noun,8.940365e-19,1.8446141e-23,1.1077537e-20,1.711871e-21
몇/Noun,4.9000693e-21,1.144481e-25,8.225306e-23,1.0417211e-23
별/Noun,5.345622e-21,1.03729624e-22,8.904137e-22,4.131659e-21
남자/Noun,4.299049e-21,3.6724958e-25,9.206314e-17,2.4981145e-20
딱/Adverb,1.6226826e-16,2.4866091e-21,4.4944497e-20,1.1060327e-17
근처/Noun,1.1614164e-20,2.999523e-23,5.075111e-21,7.8730333e-20
못/VerbPrefix,9.792134e-20,1.6643734e-23,7.6228886e-21,8.218478e-21
사/Noun,2.6510666e-19,5.889453e-22,1.5604244e-22,9.376237e-22
파니니/Noun,5.2938923e-22,9.613451e-25,4.5174366e-25,6.883652e-23
요즘/Noun,2.5680517e-19,2.7961628e-22,1.5024514e-20,4.852201e-17
냄새/Noun,3.9363493e-24,2.2057566e-27,2.1747213e-24,5.5583258e-24
개인/Noun,2.9054736e-16,3.9861776e-20,4.267954e-21,1.0504234e-17
부드럽다/Adjective,3.2199773e-19,1.8297715e-22,6.6130215e-25,6.3409917e-21
볼/Noun,1.09841645e-20,1.1471129e-24,5.2704124e-24,6.7970295e-21
뷰/Noun,2.4649582e-17,1.3988272e-19,9.333423e-20,6.730995e-15
남/Noun,7.3556865e-19,2.4789362e-22,3.419117e-21,1.0999384e-20
오래/Adverb,8.4456174e-23,3.2389922e-23,2.9054204e-22,2.4167684e-22
다만/Noun,2.1497309e-15,4.204435e-19,4.530791e-19,4.899094e-15
캐러멜/Noun,8.741432e-18,1.731567e-22,1.1545414e-23,1.9561596e-21
모두/Noun,7.3692316e-17,5.6163903e-22,4.3635377e-20,3.095846e-17
설명/Noun,4.7757624e-21,1.1337437e-25,3.651008e-20,8.289978e-23
포장/Noun,3.821818e-20,5.2797347e-22,8.132682e-21,7.5198624e-22
같이/Adverb,2.8308238e-18,1.7226511e-24,3.4529996e-21,3.6346122e-19
치즈케이크/Noun,1.8937444e-14,6.019566e-19,1.3344901e-19,3.652671e-17
비/Noun,5.8611547e-19,2.8746964e-21,6.237393e-23,7.2725946e-20
작다/Adjective,1.0080415e-18,1.3547396e-20,8.009132e-21,7.2482523e-19
오픈/Noun,7.1511824e-22,7.3485925e-26,7.0371194e-22,1.0593991e-21
느껴지다/Verb,2.2520017e-18,5.660894e-22,6.5051687e-22,3.125888e-20
